2024-04-05 10:17:54,595 INFO    StreamThr :63101 [internal.py:wandb_internal():86] W&B internal server running at pid: 63101, started at: 2024-04-05 10:17:54.594103
2024-04-05 10:17:54,602 DEBUG   HandlerThread:63101 [handler.py:handle_request():146] handle_request: status
2024-04-05 10:17:54,607 INFO    WriterThread:63101 [datastore.py:open_for_write():87] open: /Users/gaurav/Developer/Projects/CS6910_2/Part_B/wandb/run-20240405_101754-kl2yn14i/run-kl2yn14i.wandb
2024-04-05 10:17:54,608 DEBUG   SenderThread:63101 [sender.py:send():378] send: header
2024-04-05 10:17:54,625 DEBUG   SenderThread:63101 [sender.py:send():378] send: run
2024-04-05 10:17:55,310 INFO    SenderThread:63101 [dir_watcher.py:__init__():211] watching files in: /Users/gaurav/Developer/Projects/CS6910_2/Part_B/wandb/run-20240405_101754-kl2yn14i/files
2024-04-05 10:17:55,310 INFO    SenderThread:63101 [sender.py:_start_run_threads():1099] run started: kl2yn14i with start time 1712292474.594639
2024-04-05 10:17:55,326 DEBUG   HandlerThread:63101 [handler.py:handle_request():146] handle_request: check_version
2024-04-05 10:17:55,326 DEBUG   SenderThread:63101 [sender.py:send_request():405] send_request: check_version
2024-04-05 10:17:55,409 DEBUG   HandlerThread:63101 [handler.py:handle_request():146] handle_request: run_start
2024-04-05 10:17:55,418 DEBUG   HandlerThread:63101 [system_info.py:__init__():26] System info init
2024-04-05 10:17:55,418 DEBUG   HandlerThread:63101 [system_info.py:__init__():41] System info init done
2024-04-05 10:17:55,418 INFO    HandlerThread:63101 [system_monitor.py:start():194] Starting system monitor
2024-04-05 10:17:55,418 INFO    SystemMonitor:63101 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-04-05 10:17:55,418 INFO    HandlerThread:63101 [system_monitor.py:probe():214] Collecting system info
2024-04-05 10:17:55,420 INFO    SystemMonitor:63101 [interfaces.py:start():190] Started cpu monitoring
2024-04-05 10:17:55,420 DEBUG   HandlerThread:63101 [system_info.py:probe():150] Probing system
2024-04-05 10:17:55,420 INFO    SystemMonitor:63101 [interfaces.py:start():190] Started disk monitoring
2024-04-05 10:17:55,423 INFO    SystemMonitor:63101 [interfaces.py:start():190] Started gpuapple monitoring
2024-04-05 10:17:55,425 INFO    SystemMonitor:63101 [interfaces.py:start():190] Started memory monitoring
2024-04-05 10:17:55,425 INFO    SystemMonitor:63101 [interfaces.py:start():190] Started network monitoring
2024-04-05 10:17:55,428 DEBUG   HandlerThread:63101 [system_info.py:_probe_git():135] Probing git
2024-04-05 10:17:55,440 DEBUG   HandlerThread:63101 [system_info.py:_probe_git():143] Probing git done
2024-04-05 10:17:55,440 DEBUG   HandlerThread:63101 [system_info.py:probe():198] Probing system done
2024-04-05 10:17:55,441 DEBUG   HandlerThread:63101 [system_monitor.py:probe():223] {'os': 'macOS-14.3.1-arm64-arm-64bit', 'python': '3.12.2', 'heartbeatAt': '2024-04-05T04:47:55.420719', 'startedAt': '2024-04-05T04:47:54.586521', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'googLeNet.ipynb', 'codePathLocal': 'googLeNet.ipynb', 'root': '/Users/gaurav/Developer/Projects/CS6910_2', 'git': {'remote': 'git@github.com:GauravKanwat/DL-CS6910-Assignment-2.git', 'commit': 'd388efe2c89cc4cd2270be9b098d7fd262a3d3af'}, 'email': 'gauravkanwat99@gmail.com', 'host': 'gs5.local', 'username': 'gaurav', 'executable': '/Users/gaurav/miniforge3/envs/CS6910_Assignment/bin/python3.12', 'cpu_count': 8, 'cpu_count_logical': 8, 'cpu_freq': {'current': 3504, 'min': 600, 'max': 3504}, 'cpu_freq_per_core': [{'current': 3504, 'min': 600, 'max': 3504}], 'disk': {'/': {'total': 228.27386474609375, 'used': 13.369155883789062}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 8.0}}
2024-04-05 10:17:55,441 INFO    HandlerThread:63101 [system_monitor.py:probe():224] Finished collecting system info
2024-04-05 10:17:55,441 INFO    HandlerThread:63101 [system_monitor.py:probe():227] Publishing system info
2024-04-05 10:17:55,441 DEBUG   HandlerThread:63101 [system_info.py:_save_conda():207] Saving list of conda packages installed into the current environment
